Malachi Shadowgrave
Lilith Nightshade
Morgana Blackthorn
Azrael Bloodfang
Dante Darkheart
Ravenna Grimwood
Lucius Shadowborne
Isabella Darkfire
Soren Ravenshadow
Seraphina Nightstrider
Mortis Blackthorn
Valeria Bloodmoon
Draven Darkthorn
Selene Shadowsoul
Ignatius Blackwood
Morrigan Darkvale
Thaddeus Doomhammer
Nyx Nightstalker
Vesper Shadowblade
Zephyr Darkstar
Liliana Bloodthorn
Orion Shadowhunter
Persephone Nightshade
Nefarius Grimwraith
Celeste Darkmoon
Desdemona Shadowdancer
Lucian Nightreaper
Seraph Darkbane
Elysium Blackfire
Azraela Bloodshadow
